voter_id,full_name,gender,date_of_birth,age,aadhaar_number,phone_number,email,address,city,district,state,pincode,registration_date
41,Daniel Kar,Male,2004-01-29,21,854605103833,01795192909,,"08/041 Grewal Chowk, Adoni-590660",Loni,Bharatpur,Delhi,123158,2020-03-12
42,Nakul Mahal,Male,1989-02-08,36,174906698550,04401766079,srinivasvinaya@example.net,"077, Mishra Street, Phagwara 498189",Muzaffarnagar,Erode,Uttar Pradesh,309325,2017-06-10
43,Raagini Panchal,Female,1970-09-14,55,522026859243,08347100083,balaindira@example.net,"H.No. 24 Jayaraman Circle, Thrissur-701991",Surendranagar Dudhrej,Sirsa,Gujarat,889635,2017-03-05
44,Mugdha More,Other,1971-09-26,54,670964464815,02435143254,pantmason@example.net,"96/614 Dixit Ganj, Sri Ganganagar-495763",Moradabad,Giridih,Delhi,224583,2018-12-13
45,Anusha Sem,Male,1986-07-12,39,314040182215,+919811562538,chandresh52@example.net,"38 Koshy, Gwalior 411238",Sirsa,Kumbakonam,Delhi,945298,2022-12-24
46,Ekantika Rege,Other,1987-12-26,38,370967252912,0935906644,vyasazaan@example.net,"H.No. 21, Pingle Ganj, Hapur 849658",Yamunanagar,Jhansi,Karnataka,509231,2016-05-16
47,Hemang Sarkar,Other,2008-02-13,17,505072760171,,,H.No. 549 Bhargava Zila Jamshedpur 636738,Uluberia,Bhopal,Rajasthan,367355,2017-07-14
48,Aarini Borah,Female,1960-04-18,65,975734866161,05886347836,kalpitrajagopal@example.com,744 Chaudhry Road Sonipat-925218,Aizawl,Ichalkaranji,Delhi,346822,2019-12-25
49,Ayushman Chhabra,Female,1999-02-24,26,597882170008,,cheemakai@example.org,H.No. 79 Deol Nagar Kottayam-441321,Bijapur,Sangli-Miraj & Kupwad,Rajasthan,032860,2018-09-24
50,Quincy Kumar,Male,1951-05-12,74,142420288918,,samarvirk@example.net,"54 Nori Zila, Bahraich 560651",Rampur,Ahmedabad,Rajasthan,482612,2021-09-14
51,Leena Kumer,Other,1952-12-20,73,835883073006,+912089921357,advaith73@example.net,"26, Thaker, Sasaram-266302",Siliguri,Parbhani,Karnataka,949523,2020-05-25
52,Peter Kaur,Female,1954-09-04,71,717201206286,+913547629911,pseth@example.net,41 Kunda Road Tumkur 562135,Ambala,Khammam,Delhi,099822,2019-10-26
53,Gabriel Rai,Male,1969-03-27,56,814120276299,3524775399,gpal@example.net,"77, Minhas Zila Dharmavaram-184283",Kozhikode,Morbi,Karnataka,238832,2019-06-02
54,Jason Amble,Other,1961-06-07,64,826871449481,01042244495,chaitanyarege@example.org,"H.No. 490, Murthy Nagar, Rajahmundry 837691",Patiala,Gangtok,Uttar Pradesh,243082,2024-05-07
55,Xiti Dass,Male,1990-06-03,35,552225040924,05901114706,sidhuharshil@example.com,"64, Sachdeva Nagar Jehanabad-791903",Bhusawal,Kolkata,Delhi,059682,2025-12-29
56,Yadavi Gopal,Male,1948-08-10,77,715787627934,6052803036,finn40@example.com,H.No. 163 Panchal Path Satara-223217,Kanpur,Panvel,Karnataka,032649,2020-04-12
57,Jagat Baria,Male,1970-06-08,55,105106806399,00019307613,hiral07@example.com,"742, Sood Nagar Thoothukudi-525995",Bilaspur,Kavali,Maharashtra,855917,2018-09-04
58,Ganga Prasad,Female,1961-06-04,64,901096036467,07108760982,elijah99@example.net,39 Devan Zila Hajipur 979053,Mau,Aurangabad,Uttar Pradesh,543080,2017-10-15
59,Azad Pal,Other,1965-09-30,60,932461775149,3745001434,matthewreddy@example.org,"147, Sethi Ganj, Mysore-000960",Kochi,Kavali,Uttar Pradesh,935887,2018-02-10
60,Ayushman Chawla,Female,1994-08-06,31,685260277007,,devansh55@example.org,H.No. 101 Gaba Hosur-036098,Gwalior,Bidar,Maharashtra,497739,2018-01-18
61,Tanveer Sodhi,Other,1976-01-29,49,669181973989,0942418623,raagini42@example.com,36 Borde Street Kollam 705852,Shimoga,Nashik,Rajasthan,772345,2022-07-23
62,Januja Pai,Female,1955-12-27,70,727459954704,0350542393,aaravchawla@example.net,"H.No. 607, Prabhu Path, Salem-595022",Chandrapur,Siliguri,Maharashtra,788601,2018-12-06
63,Rushil Aurora,Other,1940-08-06,85,401854475997,00184158411,ygoswami@example.com,"63/922, Talwar Nagar, Malda 750602",Anand,Shimoga,Karnataka,159121,2018-05-08
64,Indrajit Bansal,Other,1956-10-29,69,568816204203,4443472807,ekbal85@example.org,"H.No. 35 Brahmbhatt Zila, Raebareli-810682",Cuttack,Agartala,Maharashtra,594222,2017-12-17
65,Anmol Lad,Female,1986-11-13,39,490048375787,+910337687163,jdeol@example.org,H.No. 31 Krishnan Circle Ongole-780461,Gaya,Nizamabad,Gujarat,401536,2017-11-07
66,Damini Pathak,Male,1955-06-04,70,740874165350,,mandaoni@example.org,"671, Randhawa Zila, Tumkur-163786",Raebareli,Haridwar,Karnataka,468178,2021-10-02
67,Janaki Srinivasan,Female,1983-10-16,42,223584963101,2592027612,,"H.No. 890, Chad Nagar, Jamalpur 187952",Sasaram,Rohtak,Delhi,001040,2025-06-30
68,Pavani Varkey,Female,2008-01-15,17,533958266613,8418164801,ubikawason@example.com,"H.No. 959, Shroff Marg, Medininagar-196228",Imphal,Medininagar,Gujarat,662857,2022-06-21
69,Omkaar Shanker,Female,1957-03-12,68,950378970824,08454578537,somanmekhala@example.net,44/325 Doctor Nagar Dewas-734135,Sambhal,Aizawl,Delhi,284711,2026-01-24
70,Hiral Jaggi,Other,1984-02-08,41,458109695998,+916894389982,tejasrout@example.org,12 Setty South Dumdum-655400,Bhavnagar,Danapur,Uttar Pradesh,984115,2024-03-25
71,Aarnav Mallick,Male,1978-05-03,47,417055061133,,ekiyanarasimhan@example.org,"54/93 Sampath Zila, Dewas 606033",Bulandshahr,Karaikudi,Delhi,517259,2020-06-30
72,Gayathri Shanker,Female,1981-03-07,44,754156211651,+919853059761,mmander@example.org,"H.No. 16, Cherian Street, Satara 553991",Sambhal,Mango,Karnataka,636110,2022-05-17
73,Anjali Pal,Female,1985-12-08,40,274716738176,+915313499673,krishnamurthyeiravati@example.net,"H.No. 09 Narain Zila, Malegaon-709906",Malda,Nagercoil,Maharashtra,627709,2025-02-21
74,Reyansh Rana,Female,1991-11-02,34,929640980748,03082561425,amrita36@example.com,"H.No. 29, Shan Street, Durgapur-699326",Patiala,Phusro,Karnataka,519934,2018-09-30
75,Gaurangi Karnik,Female,1953-06-16,72,471027814103,01609934733,tanaykhanna@example.org,"74, Goel Path, Kamarhati-082733",Solapur,Jodhpur,Maharashtra,528083,2019-12-21
76,Chasmum Mitter,Other,1949-12-22,76,523820412106,+918591680129,bhardwajshivani@example.com,"H.No. 244, Kala Chowk Delhi 805421",Jalna,Sasaram,Delhi,607499,2022-03-25
77,Peter Chawla,Other,1981-02-11,44,980155718811,8166697895,narangsuhani@example.net,"H.No. 260 Parekh Circle, Davanagere-241270",Asansol,Warangal,Uttar Pradesh,207471,2020-06-04
78,Luke Arora,Other,1978-08-10,47,933402371257,5222728179,samarthsant@example.net,"14/86, Rout Road Jorhat 157027",Allahabad,Bangalore,Rajasthan,319253,2025-05-23
79,Patrick Nadkarni,Other,1995-10-26,30,542783213089,9556982788,,"35/77, Maharaj Chowk Panchkula-761546",Gandhidham,Ahmednagar,Karnataka,334575,2016-10-19
80,Girish Chokshi,Other,1976-04-24,49,440804885228,06836560641,,"H.No. 69 Tata Nagar, Kulti 783123",Guntur,Bhiwandi,Uttar Pradesh,884712,2024-12-13
81,Tarak Chahal,Female,1957-08-19,68,612685569631,0889742356,ykakar@example.com,31/94 Lal Nagar Jamnagar-424138,Khandwa,Latur,Maharashtra,808410,2016-07-27
82,Riya Hora,Other,1949-09-06,76,360673456199,,varkeyishanvi@example.net,"H.No. 248, Dave Path Guntakal 825580",Gulbarga,Bhavnagar,Uttar Pradesh,585252,2019-12-16
83,Aadhya Narayan,Other,2004-01-08,21,935704256013,+913432606310,mohinimistry@example.net,"73/317 Shukla Road, Akola-405431",Sikar,Malda,Rajasthan,957475,2024-03-03
84,Balhaar Mallick,Female,1942-09-14,83,828063322537,02626206889,,06/998 Khurana Nagar Haldia 346030,Anantapur,Srinagar,Rajasthan,793404,2025-04-23
85,Gautami Mukhopadhyay,Male,1987-08-17,38,768299256384,08987736134,yashoda72@example.org,39 Thakur Nagar Ambarnath-107477,Narasaraopet,Kurnool,Rajasthan,807130,2020-11-20
86,Naksh Chopra,Female,1989-09-04,36,949297648914,07424790926,nidhisubramaniam@example.com,"216, Nagar Marg, Karawal Nagar 602872",Panvel,Bokaro,Gujarat,169362,2024-11-07
87,Nimrat Dada,Female,2001-03-25,24,957643978300,01727011089,jagdishnatarajan@example.org,"24/36, Lanka Dhule-615373",Danapur,Tenali,Rajasthan,337267,2016-09-15
88,Balvan Doshi,Male,1986-05-19,39,526416780991,6678582836,yash71@example.net,"H.No. 63, Mukherjee Nagar, Mathura-468045",Dhule,Kanpur,Karnataka,088300,2024-05-20
89,Irya Choudhury,Female,1941-09-09,84,563210400205,+916612138463,liamganesh@example.com,779 Varughese Ganj Singrauli 487564,Gandhinagar,Burhanpur,Karnataka,471754,2021-05-04
90,Anya Malhotra,Other,2007-02-14,18,273116415051,+915848483533,chavvi34@example.org,"H.No. 617, Saini Marg, Panipat 194285",Guwahati,Malegaon,Karnataka,669485,2020-05-21
91,Hemani Prabhu,Other,1957-08-02,68,569494502055,7778274039,osood@example.net,"81/99 Sura, Tirupati 076632",Bathinda,Srikakulam,Gujarat,286983,2020-03-15
92,Nisha Sabharwal,Female,1990-07-19,35,440859761513,+913947308258,hmandal@example.com,H.No. 79 Mitter Chowk Satara 476327,Jodhpur,Ulhasnagar,Karnataka,341584,2017-03-06
93,Pooja Agarwal,Male,1977-12-24,48,233043085364,+911000597173,jatin80@example.net,83/391 Goel Naihati-580341,Sirsa,Jammu,Karnataka,398270,2023-07-04
94,Nikita Kari,Other,2004-12-04,21,342091647127,1656915290,tankimaran@example.com,59/34 Bhatt Chowk Karimnagar-346478,Jabalpur,Tezpur,Karnataka,195819,2020-07-31
95,Ayushman Bajaj,Other,1972-11-18,53,870769335933,,siya62@example.net,"14/44, Krishnan Path, Malda-607864",Munger,Chapra,Karnataka,693821,2021-06-18
96,Vedant Chandran,Other,1944-10-12,81,987901867778,0928813106,traghavan@example.org,"05/634, Prashad Ganj, Mahbubnagar-504681",Guna,Udaipur,Karnataka,990401,2017-03-26
97,Tarak Bhalla,Female,1998-09-02,27,542565518505,,ayushmandeol@example.net,"H.No. 57, Wagle Road Kota 045375",Tinsukia,Srinagar,Maharashtra,946980,2020-12-14
98,Bhavani Naik,Male,1938-10-25,87,683399274824,9645450741,acharyaonkar@example.org,02/865 Balasubramanian Zila Avadi-080506,Mau,Farrukhabad,Gujarat,414579,2022-11-14
99,Zayyan Mangat,Male,1977-12-01,48,309316623535,05416651225,uwable@example.com,"81/43, Hayer Path Lucknow-124516",Thiruvananthapuram,Salem,Rajasthan,451533,2025-05-02
100,Chaitanya Merchant,Male,1950-12-20,75,475444318886,+919511031982,odara@example.com,"22/541, Borah Circle, Akola 933949",Nandyal,Kadapa,Karnataka,659128,2019-02-24
101,Gayathri Chadha,Female,2005-09-12,20,216174705106,5700583032,ybuch@example.org,"25/362 Tara Road, Giridih 674543",Kota,Kishanganj,Gujarat,746892,2020-03-20
102,Triveni Sheth,Male,2004-02-04,21,754204597727,03256658504,nimrat25@example.org,"582 Tripathi Chowk, Raiganj-119200",Anantapur,Chittoor,Maharashtra,565809,2019-12-24
103,Oscar Morar,Male,1990-12-23,35,587092891159,00624114526,sachi68@example.com,"888, Bose, Ramgarh-997115",Belgaum,Bilaspur,Karnataka,711458,2026-03-13
104,Sathvik Master,Other,1946-05-23,79,534101258787,0627448557,valavictor@example.org,"63/670, Chahal Circle Gurgaon 190808",Bhusawal,Jhansi,Gujarat,359340,2017-03-08
105,Gunbir Tiwari,Female,1957-10-25,68,876855572494,08693966458,kalatank@example.com,35/090 Hayer Marg Bidar 078387,Mathura,Rajkot,Gujarat,707431,2017-12-27
106,Chandran Vohra,Female,1990-11-17,35,962050089293,09677710699,,25/879 Krish Street Berhampur-838785,Bally,Navi Mumbai,Rajasthan,605733,2017-05-23
107,Tejas Badami,Male,2006-02-01,19,418444237753,07093942485,,"03/028 Sathe Nagar, Shahjahanpur-461553",Tiruppur,Durgapur,Karnataka,730415,2018-02-23
108,Baljiwan Prasad,Female,1935-12-01,90,690210202253,2313808456,solankiveer@example.com,"96/743, Garg Zila Ballia 248764",Jorhat,Khandwa,Uttar Pradesh,697128,2021-08-13
109,Gautami Ray,Female,1987-11-05,38,444424526913,06551856050,olad@example.net,H.No. 70 Vyas Path Dehradun-336929,Vijayanagaram,Indore,Rajasthan,042249,2017-12-13
110,Avni Venkatesh,Male,1991-12-14,34,412589047370,01985489979,,"415 Nigam Marg, Guwahati-427244",Gaya,Haldia,Delhi,282552,2016-10-25
111,Sai Bajwa,Male,1989-10-27,36,402514631089,01193337657,,"424 Badami Chowk, Srikakulam-157121",Vadodara,Suryapet,Delhi,659695,2025-10-04
112,David Rana,Female,1971-06-07,54,311039809640,+918647463906,vorahritik@example.net,"H.No. 352 Rajagopalan Chowk, Rohtak 059936",Guntakal,Ghaziabad,Delhi,776176,2024-08-24
113,Jasmit Pandey,Male,1991-03-17,34,493556533976,5789569030,nkamdar@example.org,066 Nair Nagar Bellary-703391,Akola,South Dumdum,Karnataka,243577,2018-01-30
114,Gayathri Hayer,Other,1974-10-24,51,711240430411,+919200276411,buchhamsini@example.net,"H.No. 04, Wadhwa, Machilipatnam 361367",Surendranagar Dudhrej,Warangal,Delhi,176176,2017-11-04
115,Siddharth Goda,Other,1950-12-04,75,488058511833,+919462619511,arinhegde@example.net,"H.No. 735, Kade Chowk Chapra-954681",Nanded,Kota,Karnataka,371865,2024-12-10
116,Aayush Dube,Male,1976-02-27,49,438130813913,+914861701708,maurora@example.net,61/76 Kalita Marg Jehanabad-959260,Loni,Ludhiana,Karnataka,109944,2023-04-29
117,Pratyush Toor,Female,1943-03-16,82,914096513087,,gabriel21@example.com,"87, Baria Zila Gangtok-133531",Baranagar,Indore,Uttar Pradesh,844375,2023-05-22
118,Ekalinga Bains,Other,1991-02-26,34,633116369523,00569618181,goelchasmum@example.org,001 Sethi Circle Naihati-968529,Guwahati,Karawal Nagar,Rajasthan,222078,2019-07-09
119,Ronith Chatterjee,Female,1995-11-03,30,633977420072,3365573432,,"H.No. 51, Chaudhuri Circle, Baranagar-574914",Mumbai,Arrah,Karnataka,908243,2017-03-03
120,Chakradev Aurora,Female,2007-10-11,18,195004578288,05247765406,udyatinadkarni@example.org,"H.No. 716, Thaman Street Vadodara 124144",Avadi,Panvel,Uttar Pradesh,580027,2022-10-26
121,Zarna Soman,Other,1960-07-25,65,270149626499,+911468746723,januja09@example.org,10 Tripathi Kolhapur-888482,Bhilwara,Allahabad,Karnataka,214379,2017-04-28
122,Vrinda Panchal,Female,1941-07-29,84,108824294281,08924791050,xkhosla@example.net,H.No. 63 Bose Zila Ulhasnagar 319230,Kadapa,Proddatur,Uttar Pradesh,784443,2023-08-21
123,Edhitha Parikh,Female,1976-05-14,49,996720404830,05941368728,sakshamranganathan@example.com,"03/632 Sahni Chowk, Srikakulam-102428",Sagar,Faridabad,Uttar Pradesh,766254,2022-07-23
124,Yamini Joshi,Other,2007-11-04,18,254028641175,02819922046,,"40/947, Oza Marg, Siwan 336366",Bhatpara,Bikaner,Gujarat,388725,2018-08-25
125,Gautami Kata,Male,1958-07-14,67,519275532872,+914494114522,warda01@example.net,168 Madan Gulbarga 142545,Ambarnath,Srikakulam,Rajasthan,371747,2017-11-29
126,Vamakshi Raghavan,Other,1978-11-17,47,103554178984,8081959922,talwarnimrat@example.org,"92/50, Bhagat Ganj Bettiah-546559",Nagercoil,Naihati,Rajasthan,681995,2023-02-26
127,Irya Gopal,Female,1988-10-13,37,733616730635,2585891319,rajuchandran@example.com,26/433 Dubey Erode-378775,Warangal,Buxar,Uttar Pradesh,803853,2020-01-15
128,Ladli Zacharia,Female,2005-10-07,20,375456577228,05454980858,wishi25@example.org,"H.No. 076, Raman Chowk Pune 008991",Chandigarh,Raipur,Uttar Pradesh,753606,2023-06-29
129,Andrew Puri,Male,1937-03-20,88,311207718715,08029347877,dhillonadvaith@example.net,H.No. 470 Aurora Circle Surendranagar Dudhrej 777877,Sasaram,Kirari Suleman Nagar,Rajasthan,580376,2019-12-18
130,Balveer Dey,Male,2006-12-09,19,920228026789,0144456541,,"H.No. 817 Verma Ganj, Hindupur 277425",Cuttack,Imphal,Karnataka,132593,2021-11-01
131,Anika Pandey,Female,1981-10-15,44,912699183945,09164251652,farhansani@example.com,"H.No. 498, Tripathi Street Bidar-778392",Patna,Jamshedpur,Maharashtra,686425,2023-07-10
132,David Murthy,Male,2000-02-22,25,770049770088,3180547112,tbansal@example.com,"H.No. 686, Seshadri Circle Katni 621740",Chittoor,Buxar,Maharashtra,180464,2020-07-14
133,Ekbal Raja,Male,1961-10-02,64,798023981510,+913553512364,ramasudiksha@example.org,272 Deol Marg Machilipatnam 642065,Tezpur,Hindupur,Delhi,934238,2019-09-12
134,Girik Bajaj,Male,1971-09-02,54,422081164477,,,"H.No. 56 Apte Chowk, Gangtok-824933",Thanjavur,Sambalpur,Karnataka,160986,2019-02-12
135,Banjeet Wable,Female,1970-06-30,55,483901493835,0600595955,andraranveer@example.net,"86 D’Alia Marg, Karnal-025094",Giridih,Surendranagar Dudhrej,Gujarat,618533,2024-04-21
136,Garima Om,Female,1989-11-27,36,266538204032,3676937014,rachitchaudhari@example.net,"37/43, Madan Nagar Nagaon 875153",Kirari Suleman Nagar,Ramgarh,Rajasthan,907280,2020-01-03
137,Zayan Merchant,Other,1993-08-12,32,472530937217,4163485817,jchar@example.net,H.No. 42 Sanghvi Marg Buxar-745389,Amaravati,Allahabad,Rajasthan,047974,2025-04-09
138,Amrita Kannan,Female,1963-02-25,62,776236594141,0696119219,kurianreyansh@example.com,"H.No. 60 Bajwa Path, Khandwa-863206",Mango,Mango,Karnataka,765435,2019-12-31
139,Lohit Behl,Male,1952-11-22,73,536005252551,+911976648062,chhabranikita@example.com,H.No. 874 Sen Circle Nagaon 123374,Raichur,Imphal,Rajasthan,019657,2020-12-01
140,Ranbir Mallick,Male,1985-01-14,40,834046190261,,settyhenry@example.org,"H.No. 077, Koshy Chowk, Saharanpur 597729",Thane,Pune,Uttar Pradesh,212652,2023-03-20
141,Thomas Madan,Other,1978-09-30,47,316148459341,7062282049,rde@example.net,69/57 Grewal Jabalpur 470035,Faridabad,Munger,Gujarat,069271,2021-03-14
142,Yuvraj Subramanian,Male,1983-06-18,42,860816293929,8320143757,aarnav55@example.org,55 Parmar Circle Kadapa 021507,Howrah,Raipur,Maharashtra,698962,2019-01-19
143,Vihaan Bhatt,Female,1978-06-23,47,546497233810,2607391993,wyatt50@example.org,"08/13, Nayar Street Sirsa-702252",Chandrapur,Junagadh,Delhi,653338,2017-02-10
144,Dalbir Parikh,Female,1951-03-20,74,633116369523,06850063756,,"919, Pant Street, Pali-770510",Chapra,Faridabad,Karnataka,843330,2025-05-24
145,Devansh Mukhopadhyay,Other,1993-05-16,32,387309655092,8415856021,,"978, Ahluwalia Zila, Naihati-930918",Solapur,Madhyamgram,Gujarat,809630,2025-02-23
146,Nilima Patil,Other,1965-07-12,60,937505622295,+914043522367,michaelchadha@example.net,29/803 Wali Road Arrah-136298,Nagercoil,Uluberia,Delhi,759885,2023-02-14
147,Avi Pandey,Female,1964-09-23,61,134783881794,+917008938888,nihalkarpe@example.net,89/18 Rao Street Kishanganj 930882,Nandyal,Dindigul,Karnataka,044104,2016-08-14
148,Maya Goyal,Other,1955-02-25,70,137758881655,05471715569,sara80@example.com,"H.No. 94 Bhakta Ganj, Imphal 254676",Bettiah,Nadiad,Rajasthan,328528,2018-12-22
149,Riya Vaidya,Other,1991-06-11,34,556255863329,+910120436337,gautam54@example.org,H.No. 425 Chana Road Serampore 408015,Aurangabad,Shivpuri,Maharashtra,067951,2017-12-22
150,Urvi Manda,Female,1949-08-11,76,218727233386,01497044420,,"84/60, Raju Srikakulam 939147",Aurangabad,South Dumdum,Gujarat,543451,2023-05-27
